group_key,a,b,m,k,rmse,mu_lo,mu_hi,rng,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source,g_hat
AAGFPTSOPGCENQ,0.9959189173256208,0.3872015091773366,4.095003389252961,5.779232131741858,0.00409571812490585,0.9833070616425214,0.4377835727444025,0.5455234888981189,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,247.180969238281,40.0,0.0,4.0,0.0,6.0,23.550000000000004,0.1666666666666666,2.0,1.0,0.0,0.0,WUR,2.066213169875499
ADWTYURAFSWNSU,1.0499999999999998,0.3934430817936209,3.583077553087309,2.209952109109668,0.0102629867438227,0.7920105691188454,0.4600230772835857,0.33198749183525966,O=C1NCCN1Cc1cccnc1,212.058654785156,24.0,2.0,2.0,1.0,6.0,45.23,0.3571428571428571,3.0,1.0,0.0,1.0,WUR,1.475342799304472
AEKQMJRJRAHOAP,1.0499999999999998,0.3720202496054725,3.698427136164219,5.299621992929464,0.007029308774818711,0.937702032221122,0.3716633589788305,0.5660386732422915,O=C1[C@@H](Cc2c[nH]cn2)CCc2cc3ccccc3n21,294.1601,41.0,2.0,4.0,3.0,12.5,50.68,0.1818181818181818,3.0,1.0,0.0,0.0,LCSB,1.3689376526913215
AEOCXXJPGCBFJA,1.0158081829242545,0.6448082047372587,4.165415903090198,3.065432675942369,0.00045860487329872656,0.9833891218149208,0.7430006006443542,0.24038852117056653,c1ccncc1,167.0637,21.0,2.0,1.0,1.0,5.0,38.91,0.2727272727272727,2.0,0.0,1.0,0.0,LCSB,3.511435058060496
AFAIELJLZYUNPW,1.004402908815313,0.6582746387833616,3.9902815644362524,6.989618554518681,0.00399750868477568,0.998033004547614,0.6634760081996239,0.3345569963479901,N=C1C=CC(=C(c2ccccc2)c2ccccc2)C=C1,288.1495,39.0,2.0,3.0,2.0,13.0,75.89,0.1363636363636363,3.0,0.0,0.0,0.0,LCSB,3.0598933928813743
AFYCEAFSNDLKSX,1.0183530149766173,0.5034568328318112,4.1757463480549575,2.7019862567483854,0.004383776449613281,0.960983162484285,0.6527034358761099,0.30827972660817504,O=c1ccc2ccccc2o1,232.1332,34.0,3.0,2.0,2.0,8.5,33.45,0.1764705882352941,1.0,2.0,0.0,0.0,LCSB,2.8565880580640477
AGOYDEPGAOXOCK,1.0499999999999983,0.09024685438486718,2.5819443280389005,1.920192169013518,0.0029995521220045835,0.2558060777904192,0.1114370327306284,0.1443690450597908,O=C1CCCCOC(=O)C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CCC1,748.484741210938,121.0,8.0,3.0,0.0,5.0,182.91,0.2692307692307692,1.0,13.0,0.0,0.0,WUR,0.1995826282599953
AHMMSNQYOPMLSX,1.0499999999999556,0.1944578540719504,2.419766295060207,1.6570459985102117,0.0022593063709025083,0.3356538822464734,0.2188227655546371,0.11683111669183632,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,453.336151123047,77.0,10.0,4.0,0.0,9.0,43.370000000000005,0.0909090909090909,0.0,3.0,0.0,0.0,WUR,0.2403451484998981
AHOUBRCZNHFOSL,0.9819058988193681,0.2689538629471535,3.471815808748169,4.038796171060159,0.000501910925069416,0.6759188398677346,0.2794920940479064,0.3964267458198282,c1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,330.150115966797,44.0,4.0,4.0,2.0,10.0,39.72,0.2083333333333333,1.0,3.0,0.0,1.0,WUR,0.7617057560990138
AKNNEGZIBPJZJG,1.0499999999999998,0.45734061206351684,2.9759262161785744,1.5447037869223887,0.011360444741361112,0.6637332310271566,0.4996831757031774,0.16405005532397926,O=C1O[C@H]([C@@H]2NCCc3cc4c(cc32)OCO4)c2ccccc21,414.15478515625,53.0,4.0,5.0,2.0,12.0,75.69000000000001,0.2666666666666666,1.0,7.0,0.0,0.0,WUR,1.24769153919524
