connectivity_key,ce_numeric,mu,survival_yield,fragment_depth,precursor_mass_ratio,n_acquisitions,n_creation_dates,precursor_mass,scan_lo,adduct,n_accepted_rows
AABILZKQMVKFHP,15.0,0.8756569295104428,0.808158725386099,0.35184534337188267,0.9999996844492601,1,1,428.228088378906,40.0,[M+H]+,2
AABILZKQMVKFHP,30.0,0.4079730083749453,0.04286329147959916,0.38146033065945356,1.0000007366875463,1,1,428.228149414063,40.0,[M+H]+,2
AABILZKQMVKFHP,45.0,0.3071400569149308,0.0,0.3071400569149308,,1,1,428.228149414063,40.0,[M+H]+,2
AABILZKQMVKFHP,60.0,0.2674867808385024,0.0,0.2674867808385024,,1,1,428.228149414063,40.0,[M+H]+,2
AABILZKQMVKFHP,75.0,0.2437755824519147,0.0,0.2437755824519147,,1,1,428.228149414063,40.0,[M+H]+,2
AABILZKQMVKFHP,90.0,0.23032712772463432,0.0,0.23032712772463432,,1,1,428.228149414063,40.0,[M+H]+,2
AAEVYOVXGOFMJO,15.0,0.9458116334906991,0.7581385619314435,0.7759537962707461,0.9999996973092329,1,1,242.143585205078,40.0,[M+H]+,2
AAEVYOVXGOFMJO,30.0,0.7479764216776101,0.1242007282683391,0.7122357910221125,1.0000008561212406,1,1,242.143569946289,40.0,[M+H]+,2
AAEVYOVXGOFMJO,45.0,0.5426451185811674,0.0,0.5426451185811674,,1,1,242.143569946289,40.0,[M+H]+,2
AAEVYOVXGOFMJO,60.0,0.3960173415014225,0.0,0.3960173415014225,,1,1,242.143569946289,40.0,[M+H]+,2
AAEVYOVXGOFMJO,75.0,0.3091431416618322,0.0,0.3091431416618322,,1,1,242.143569946289,40.0,[M+H]+,2
AAEVYOVXGOFMJO,90.0,0.27106397953185907,0.0,0.27106397953185907,,1,1,242.143569946289,40.0,[M+H]+,2
AAGFPTSOPGCENQ,15.0,0.9916087860529553,0.9804339150997609,0.5711566490830051,0.9999995629138352,1,1,247.18098449707,40.0,[M+H]+,2
AAGFPTSOPGCENQ,30.0,0.930739970242315,0.7774627927644765,0.6887723329391459,0.999999621955497,1,1,247.180923461914,40.0,[M+H]+,2
AAGFPTSOPGCENQ,45.0,0.6976049771793736,0.2232127552585406,0.6107106042747433,1.0000000640279878,1,1,247.180969238281,40.0,[M+H]+,2
AAGFPTSOPGCENQ,60.0,0.5134036881051417,0.023045600285792958,0.5019252390838951,1.0000007449895851,1,1,247.180969238281,40.0,[M+H]+,2
AAGFPTSOPGCENQ,75.0,0.4233782955672043,0.0,0.4233782955672043,,1,1,247.180969238281,40.0,[M+H]+,2
AAGFPTSOPGCENQ,90.0,0.38371980986458987,0.0,0.38371980986458987,,1,1,247.180969238281,40.0,[M+H]+,2
AAVMGRPGPSSZBQ,15.0,0.9432925198256006,0.9219029052537439,0.2739021150222367,0.9999985412170553,1,1,370.186676025391,40.0,[M+H]+,2
AAVMGRPGPSSZBQ,30.0,0.5582389279140293,0.18277510073920986,0.4594376284843373,0.999999767583718,1,1,370.186431884766,40.0,[M+H]+,2
AAVMGRPGPSSZBQ,45.0,0.3987765208362728,0.006800234277225879,0.3946600664946228,1.0000001435911028,1,1,370.186431884766,40.0,[M+H]+,2
AAVMGRPGPSSZBQ,60.0,0.3226467681496871,0.0,0.3226467681496871,,1,1,370.186431884766,40.0,[M+H]+,2
AAVMGRPGPSSZBQ,75.0,0.28305928437154776,0.0,0.28305928437154776,,1,1,370.186431884766,40.0,[M+H]+,2
AAVMGRPGPSSZBQ,90.0,0.25781302469238826,0.0,0.25781302469238826,,1,1,370.186431884766,40.0,[M+H]+,2
ABOOPXYCKNFDNJ,15.0,0.905760857521284,0.7003412374140923,0.6855098853495929,1.0000008226317323,1,1,345.063659667969,40.0,[M+H]+,2
ABOOPXYCKNFDNJ,30.0,0.6491982794246857,0.03658834094720168,0.6358755727871521,0.9999999439019475,1,1,345.063659667969,40.0,[M+H]+,2
