key,name,smiles,sg,formula,taut_key,skel_key,taut_in_msg,skel_in_msg,taut_in_dev,skel_in_dev,taut_in_pr7,skel_in_pr7,taut_in_cmp,skel_in_cmp,msg_same_formula_n,msg_same_formula_max_tanimoto,msg_nn_smiles,in_msnlib9,sg_in_registry,sg_in_pr7,sg_in_comparator,sg_in_msg15,n_nce,nce_ladder,mh_calc,releases,uchem_ids
AGCUFKNHQDVTAD,(Tridecafluorohexyl)phosphonic acid,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,__ACYCLIC__AGCUFKNHQDVTAD,C6H2F13O3P,AGCUFKNHQDVTAD,C6H2F13O3P|OP(O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,6,"15,30,45,60,75,90",400.96067388088,2024.06,11479
AIBRSVLEQRWAEG,,CC(C)(C)C1=CC(=C(C=C1)OP2OCC3(CO2)COP(OC3)OC4=C(C=C(C=C4)C(C)(C)C)C(C)(C)C)C(C)(C)C,c1ccc(OP2OCC3(CO2)COP(Oc2ccccc2)OC3)cc1,C33H50O6P2,AIBRSVLEQRWAEG,C33H50O6P2|CC(C)(C)C1CCC(OP2OCC3(CO2)COP(OC2CCC(C(C)(C)C)CC2C(C)(C)C)OC3)C(C(C)(C)C)C1,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",605.31553904688,2025.10,10963
AKNMPWVTPUHKCG,,CC1=CC(=C(C(=C1)C2CCCCC2)O)CC3=C(C(=CC(=C3)C)C4CCCCC4)O,c1cc(Cc2cccc(C3CCCCC3)c2)cc(C2CCCCC2)c1,C27H36O2,AKNMPWVTPUHKCG,C27H36O2|CC1CC(CC2CC(C)CC(C3CCCCC3)C2O)C(O)C(C2CCCCC2)C1,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,6,"15,30,45,60,75,90",393.27880685888,2025.10,11945
ALBYIUDWACNRRB,Hexanamide,CCCCCC(=O)N,__ACYCLIC__ALBYIUDWACNRRB,C6H13NO,ALBYIUDWACNRRB,C6H13NO|CCCCCC(N)O,False,False,False,False,False,False,False,False,1,0.0345,CC1CNCC(C)O1,False,False,False,False,False,5,"15,30,45,60,75",116.10699050288,2024.11,10619
AOBIOSPNXBMOAT,2-[2-(oxiran-2-ylmethoxy)ethoxymethyl]oxirane,C(COCC1CO1)OCC1CO1,C(COCC1CO1)OCC1CO1,C8H14O4,AOBIOSPNXBMOAT,C8H14O4|C(COCC1CO1)OCC1CO1,False,False,False,False,False,False,False,False,2,0.069,CCOC(=O)CCC(=O)OCC,False,False,False,False,False,5,"15,30,45,60,75",175.09648539488,2024.11,11094
APZSGEHAFPIYQZ,,CCOC(=O)C1=C(C(=C(N=C1COCCN)C)C(=O)OC)C2=CC=CC=C2Cl,c1ccc(-c2ccncc2)cc1,C20H23ClN2O5,APZSGEHAFPIYQZ,C20H23ClN2O5|CCOC(O)C1C(COCCN)NC(C)C(C(O)OC)C1C1CCCCC1Cl,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",407.13682598288,2024.06,11540
AVOCDJCZFLQTCS,"2-[dimethyl(4,4,5,5,6,6,7,7,8,8,8-undecafluorooctyl)azaniumyl]acetate",C[N+](C)(CCCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)CC(=O)[O-],__ACYCLIC__AVOCDJCZFLQTCS,C12H14F11NO2,AVOCDJCZFLQTCS,C12H14F11NO2|CN(C)(CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)O,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",414.09216557488,dev,11824
AVOLBYOSCILFLL,"1-O-butyl 2-O-(2-ethylhexyl) benzene-1,2-dicarboxylate",CCCCOC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,c1ccccc1,C20H30O4,AVOLBYOSCILFLL,C20H30O4|CCCCOC(O)C1CCCCC1C(O)OCC(CC)CCCC,False,False,False,False,False,False,False,False,10,0.6154,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",335.22168590688,2024.11,11106
BEQVQKJCLJBTKZ,Diphenylphosphinic Acid,O=P(O)(c1ccccc1)c1ccccc1,O=[PH](c1ccccc1)c1ccccc1,C12H11O2P,BEQVQKJCLJBTKZ,C12H11O2P|OP(O)(C1CCCCC1)C1CCCCC1,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,True,9,"15,30,45,60,75,90,120,150,180",219.05694268888,dev,10602
BOCZYIUKFAQNLG,Fluvastatin Methyl Ester,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)OC)O)O)C3=CC=C(C=C3)F,c1ccc(-c2c[nH]c3ccccc23)cc1,C25H28FNO4,BOCZYIUKFAQNLG,C25H28FNO4|COC(O)CC(O)CC(O)CCC1C(C2CCC(F)CC2)C2CCCCC2N1C(C)C,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",426.2075130628799,dev,4353
CGRTZESQZZGAAU,,CC1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OCC(C)(C)C2OCC3(CO2)COC(OC3)C(C)(C)COC(=O)CCC4=CC(=C(C(=C4)C)O)C(C)(C)C,O=C(CCc1ccccc1)OCCC1OCC2(CO1)COC(CCOC(=O)CCc1ccccc1)OC2,C43H64O10,CGRTZESQZZGAAU,C43H64O10|CC1CC(CCC(O)OCC(C)(C)C2OCC3(CO2)COC(C(C)(C)COC(O)CCC2CC(C)C(O)C(C(C)(C)C)C2)OC3)CC(C(C)(C)C)C1O,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,9,"15,30,45,60,75,90,120,150,180",741.4572247148798,2025.10,10858
CZBPKFICAYVHHM,,CC(C1=C(C(NC2=CC=CC=C2O)=O)C(C3=CC=CC=C3)=C(C4=CC=C(F)C=C4)N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C,O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1-c1ccccc1,C33H35FN2O6,CZBPKFICAYVHHM,C33H35FN2O6|CC(C)C1C(C(O)NC2CCCCC2O)C(C2CCCCC2)C(C2CCC(F)CC2)N1CCC(O)CC(O)CC(O)O,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,8,"15,30,45,60,75,90,120,150",575.2551915268799,2024.06,11563
CZIHNRWJTSTCEX,2-Acetylaminofluorene,CC(=O)NC1=CC=C2C(CC3=C2C=CC=C3)=C1,c1ccc2c(c1)Cc1ccccc1-2,C15H13NO,CZIHNRWJTSTCEX,C15H13NO|CC(O)NC1CCC2C(C1)CC1CCCCC12,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",224.10699050288,2024.11,11084
DEQZTKGFXNUBJL,"N-(1,3-benzothiazol-2-ylsulfanyl)cyclohexanamine",C1CCC(CC1)NSC2=NC3=CC=CC=C3S2,c1ccc2sc(SNC3CCCCC3)nc2c1,C13H16N2S2,DEQZTKGFXNUBJL,C13H16N2S2|C1CCC(NSC2NC3CCCCC3S2)CC1,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,6,"15,30,45,60,75,90",265.08276697888,2024.11,3889
DFZSBQYOXAUYCB,"2,4-diamino-6-nitrotoluene",O=N(=O)C=1C=C(N)C=C(N)C1C,c1ccccc1,C7H9N3O2,DFZSBQYOXAUYCB,C7H9N3O2|CC1C(N)CC(N)CC1N(O)O,False,False,False,False,False,False,False,False,1,0.0588,O=C(O)[C@@H]1Cc2nc[nH]c2CN1,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",168.07675299488,dev,11848
DJUKMHIJCDJSIJ,,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)NS(=O)(=O)C,c1ccc(-c2ccncn2)cc1,C21H26FN3O6S,XTSDJNDQXPIHIS,C21H26FN3O6S|CC(C)C1NC(NS(C)(O)O)NC(C2CCC(F)CC2)C1CCC(O)CC(O)CC(O)O,False,False,False,False,False,False,False,False,0,0.0,,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",468.15991123888,2024.06,11548
DKVATWZCDNHYCW,"2-methyl-2-[3-(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctylsulfanyl)propanoylamino]propane-1-sulfonic acid",CC(C)(CS(=O)(=O)O)NC(=O)CCSCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,__ACYCLIC__DKVATWZCDNHYCW,C15H18F13NO4S2,DKVATWZCDNHYCW,C15H18F13NO4S2|CC(C)(CS(O)(O)O)NC(O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,False,False,False,False,False,False,False,False,0,0.0,,False,False,False,False,False,5,"15,30,45,60,120",588.05424338288,dev,12114
DQBHJILNHNRDTM,,CC1(C=C(C(=O)C(=C1)C(C)(C)C)C(C)(C)C)O,O=C1C=CCC=C1,C15H24O2,DQBHJILNHNRDTM,C15H24O2|CC1(O)CC(C(C)(C)C)C(O)C(C(C)(C)C)C1,False,False,False,False,False,False,False,False,10,0.125,CCCCCc1cc(O)c(CCCC)c(O)c1,False,False,False,False,False,8,"15,30,45,60,75,90,120,150",237.18490647488,2025.10,11917
DSBIJCMXAIKKKI,2-amino-4-nitrotoluene,O=N(=O)C1=CC=C(C(N)=C1)C,c1ccccc1,C7H8N2O2,DSBIJCMXAIKKKI,C7H8N2O2|CC1CCC(N(O)O)CC1N,False,False,False,False,False,False,False,False,2,0.1429,Cn1cc(C(N)=O)ccc1=O,False,True,False,False,True,9,"15,30,45,60,75,90,120,150,180",153.06585396288,dev,11572
